appliance_name,local_time,current_power,distance_ultrasonic,distance_bluetooth,distance_ultrawideband,user_presence_detected
lamp,2025-03-09 21:07:50,10263,0,0,0,1
lamp,2025-03-09 21:08:00,10313,0,0,0,1
lamp,2025-03-09 21:08:11,10186,0,0,0,1
lamp,2025-03-09 21:08:23,10276,0,0,0,1
lamp,2025-03-09 21:08:34,10242,0,0,0,1
lamp,2025-03-09 21:08:45,10422,0,0,0,1
lamp,2025-03-09 21:08:56,10500,0,0,0,1
lamp,2025-03-09 21:09:07,10147,0,0,0,1
lamp,2025-03-09 21:09:18,10108,0,0,0,1
lamp,2025-03-09 21:09:30,10432,0,0,0,1
lamp,2025-03-09 21:09:40,10213,0,0,0,1
lamp,2025-03-09 21:09:50,10268,0,0,0,1
lamp,2025-03-09 21:10:01,10475,0,0,0,1
lamp,2025-03-09 21:10:13,10395,0,0,0,1
lamp,2025-03-09 21:10:24,10066,0,0,0,1
lamp,2025-03-09 21:10:34,10289,0,0,0,1
lamp,2025-03-09 21:10:45,10192,0,0,0,1
lamp,2025-03-09 21:10:55,10369,0,0,0,1
lamp,2025-03-09 21:11:06,10418,0,0,0,1
lamp,2025-03-09 21:11:16,10177,0,0,0,1
lamp,2025-03-09 21:11:28,10478,0,0,0,1
lamp,2025-03-09 21:11:38,10166,0,0,0,1
lamp,2025-03-09 21:11:49,10285,0,0,0,1
lamp,2025-03-09 21:11:59,10491,0,0,0,1
lamp,2025-03-09 21:12:10,10297,0,0,0,1
lamp,2025-03-09 21:12:22,10208,0,0,0,1
lamp,2025-03-09 21:12:33,10131,0,0,0,1
lamp,2025-03-09 21:12:43,10015,0,0,0,1
lamp,2025-03-09 21:12:54,10491,0,0,0,1
lamp,2025-03-09 21:13:05,10247,0,0,0,1
lamp,2025-03-09 21:13:16,10465,0,0,0,1
lamp,2025-03-09 21:13:28,10177,0,0,0,1
lamp,2025-03-09 21:13:39,10197,0,0,0,1
lamp,2025-03-09 21:13:50,10259,0,0,0,1
lamp,2025-03-09 21:14:01,10534,0,0,0,1
lamp,2025-03-09 21:14:12,10310,0,0,0,1
lamp,2025-03-09 21:14:24,10231,0,0,0,1
lamp,2025-03-09 21:14:34,10288,0,0,0,1
lamp,2025-03-09 21:14:46,10227,0,0,0,1
lamp,2025-03-09 21:14:59,10535,0,0,0,1
lamp,2025-03-09 21:15:09,10218,0,0,0,1
lamp,2025-03-09 21:15:19,9866,0,0,0,1
lamp,2025-03-09 21:15:33,10260,0,0,0,1
lamp,2025-03-09 21:15:44,10134,0,0,0,1
lamp,2025-03-09 21:15:55,10430,0,0,0,1
lamp,2025-03-09 21:16:05,10180,0,0,0,1
lamp,2025-03-09 21:16:16,10235,0,0,0,1
lamp,2025-03-09 21:16:27,10202,0,0,0,1
lamp,2025-03-09 21:16:39,10537,0,0,0,1
lamp,2025-03-09 21:16:49,10540,0,0,0,1
lamp,2025-03-09 21:16:59,10643,0,0,0,1
lamp,2025-03-09 21:17:12,10336,0,0,0,1
lamp,2025-03-09 21:17:22,10181,0,0,0,1
lamp,2025-03-09 21:17:34,10516,0,0,0,1
lamp,2025-03-09 21:17:45,10316,0,0,0,1
lamp,2025-03-09 21:17:56,10503,0,0,0,1
lamp,2025-03-09 21:18:07,10254,0,0,0,1
lamp,2025-03-09 21:18:21,10437,0,0,0,1
lamp,2025-03-09 21:18:32,10096,0,0,0,1
lamp,2025-03-09 21:18:44,10463,0,0,0,1
lamp,2025-03-09 21:18:56,10256,0,0,0,1
lamp,2025-03-09 21:19:07,10361,0,0,0,1
lamp,2025-03-09 21:19:17,10327,0,0,0,1
lamp,2025-03-09 21:19:29,10307,0,0,0,1
lamp,2025-03-09 21:19:39,10135,0,0,0,1
lamp,2025-03-09 21:19:50,10191,0,0,0,1
lamp,2025-03-09 21:20:01,10400,0,0,0,1
lamp,2025-03-09 21:20:11,10381,0,0,0,1
lamp,2025-03-09 21:20:23,10191,0,0,0,1
lamp,2025-03-09 21:20:33,10124,0,0,0,1
lamp,2025-03-09 21:20:44,10519,0,0,0,1
lamp,2025-03-09 21:20:55,10350,0,0,0,1
lamp,2025-03-09 21:21:05,10339,0,0,0,1
lamp,2025-03-09 21:21:16,10282,0,0,0,1
lamp,2025-03-09 21:21:27,10227,0,0,0,1
